code,name,latitude,longitude
JRU,Chikjajur Junction,14.1238308,76.1399953
RRB,Birur Junction,13.5933057,75.9729329
ASK,Arsikere Junction,13.313701,76.2531758
TK,Tumkur Railway Station,13.3341223,77.1019019
YPR,Bangalore Yesvantpur Junction,12.9937224,77.5980391
KIR,Katihar Junction,25.5479749,87.5651973
PRNA,Purnia Junction,25.7953111,87.4752379
ARQ,Arariya Court Railway Station,26.114863,87.4473901
FBG,Forbesganj Railway Station,26.2989817,87.2621179
JBN,Jogbani Railway Station,26.4026584,87.2638242
SC,Secunderabad Junction,17.4337454,78.5015742
KZJ,Kazipet Junction,17.9747686,79.5112251
PDPL,Peddapalli Railway Station,18.6138265,79.3921721
KATL,Katol Railway Station,21.2634082,78.5904877
GDYA,Ghoradongri Railway Station,22.125763,78.002493
PRRB,Prayagraj Rambag Railway Station,25.4393909,81.8491893
GYN,Gyanpur Road Railway Station,25.279838,82.4277079
BHLP,Bhulanpur Railway Station,25.28753,82.956873
DLN,Dildarnagar Junction,25.419535,83.6684531
RJK,Raja Ka Sahaspur Railway Station,28.626216,78.780097
MFKA,Musafir Khana Railway Station,26.3793442,81.7996055
SKN,Sri Krishna Nagar Railway Station,25.8833715,82.4493091
NDJ,Nandganj Railway Station,25.5446756,83.3973797
BGU,Bairgania Railway Station,26.7385635,85.2735242
DBA,Dabra Railway Station,25.8818043,78.3304346
DAA,Datia Railway Station,25.64107,78.45601
KPI,Kalpi Railway Station,26.1200761,79.7561707
PHN,Pokhrayan Railway Station,26.2234742,79.8412304
ON,Unnao Junction,26.5491624,80.4868156
BUW,Burhwal Railway Station,27.0860683,81.3892937
CLJ,Colonelganj Railway Station,27.1375106,81.6934628
MUR,Mankapur Junction,27.0396698,82.2268666
MSW,Maskanwa Railway Station,27.0010824,82.359424
BV,Babhnan Railway Station,26.9376651,82.5017734
BTT,Bhatni Junction,26.3813419,83.9329912
BTK,Bankata Railway Station,26.266099,84.0947603
MW,Mairwa Railway Station,26.2399001,84.1513946
DDA,Duraundha Junction,26.0869363,84.4593887
BNR,Bhagwanpur Railway Station,25.8583616,85.3010599
DOL,Dholi Railway Station,25.9761779,85.5649637
KRBP,Khudiram B Pusa Railway Station,25.9066345,85.6722475
GJL,Gajraula Junction,28.8347945,78.249244
MNDR,Mandi Dhanaura Railway Station,28.9526467,78.261222
CPS,Chand Siau Railway Station,29.1319378,78.2770305
HLDR,Haldaur Railway Station,29.290374,78.275269
BJO,Bijnor Railway Station,29.3857886,78.147049
MZM,Muzzampur Narayan Railway Station,29.58301,78.222356
NBD,Najibabad Junction,29.6038922,78.3365092
KTW,Kotdwara Railway Station,29.7425951,78.5210938
DGR,Durgapur Railway Station,23.4945502,87.3177649
RNG,Raniganj Railway Station,23.6038029,87.117528
ASN,Asansol Junction,23.6907096,86.9758736
ULT,Kulti Railway Station,23.7380343,86.8491072
BRR,Barakar Railway Station,23.7423454,86.8169593
KMME,Kumardubi Railway Station,23.7475827,86.7935198
DHN,Dhanbad Junction,23.7925537,86.4280411
KTH,Katrasgarh Railway Station,23.7963547,86.3020399
PUS,Phusro Railway Station,23.7675913,86.0097531
BRMO,Bermo Railway Station,23.7723753,85.9553056
BKRO,Bokaro Thermal Railway Station,23.7865057,85.879432
GMIA,Gumia Railway Station,23.8027268,85.8296432
RRME,Ranchi Road Railway Station,23.6660301,85.5129003
BRKA,Barkakana Junction,23.6240689,85.4683818
PTRU,Patratu Railway Station,23.6669812,85.3056611
RAY,Ray Railway Station,23.6790901,85.0602012
KLRE,Khalari Railway Station,23.6504975,85.0017627
TORI,Tori Railway Station,23.6818208,84.7400054
LTHR,Latehar Railway Station,23.7252878,84.4680828
BRWD,Barwadih Junction,23.8437071,84.1164241
DTO,Daltonganj Railway Station,24.0331665,84.0743931
GHD,Garwa Road Railway Station,24.214419,83.885116
GHQ,Garhwa Railway Station,24.1755746,83.8136049
